"Mangles.Sitio","Especie","Sitios","miny","maxy","Key","Titulo","Texto"
"NOPOLO","Lutjanus argentiventris","SAN_EVARISTO; SAN_JOSE_BAJO; SANTA_CRUZ_NORTE; SAN_DIEGO_ABNEGADO; HABANA; CUEVAS; CALABOZO; NOPOLO",1999,2009,"SAN_EVARISTO; SAN_JOSE_BAJO; SANTA_CRUZ_NORTE; SAN_DIEGO_ABNEGADO; HABANA; CUEVAS; CALABOZO; NOPOLO Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de NOPOLO"
"NOPOLO II","Lutjanus argentiventris","NOPOLO II",2007,2009,"NOPOLO II Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de NOPOLO II"
"PUERTO ESCONDIDO","Lutjanus argentiventris","MIRADOR_LORETO; PUERTO ESCONDIDO",1999,2009,"MIRADOR_LORETO; PUERTO ESCONDIDO Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de PUERTO ESCONDIDO"
"PUERTO GATA","Lutjanus argentiventris","CERRALVO_CARPINTERO; PUERTO MEJIA; PUERTO GATA",1999,2009,"CERRALVO_CARPINTERO; PUERTO MEJIA; PUERTO GATA Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de PUERTO GATA"
"PUNTA MANGLE","Lutjanus argentiventris","PUNTA MANGLE",2007,2009,"PUNTA MANGLE Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de PUNTA MANGLE"
"SAN BASILIO 1","Lutjanus argentiventris","SAN BASILIO 1",2007,2009,"SAN BASILIO 1 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de SAN BASILIO 1"
"SAN BASILIO 2","Lutjanus argentiventris","SAN BASILIO 2",2009,2009,"SAN BASILIO 2 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de SAN BASILIO 2"
"SAN BRUNO","Lutjanus argentiventris","CORONADO_PUNTA_BLANCA; CORONADO_MONO; CORONADO_ISLOTE; SAN BRUNO; LORETO_TEPETATE",1998,2009,"CORONADO_PUNTA_BLANCA; CORONADO_MONO; CORONADO_ISLOTE; SAN BRUNO; LORETO_TEPETATE Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de SAN BRUNO"
"SAN COSME","Lutjanus argentiventris","MONSERRAT_REINITA; MONSERRAT_PUNTA_SURESTE; MONSERRAT_GALERAS; CATALANA_BAJO; MONSERRAT_PUNTA_NOROESTE; LORETO_SAN_COSME_CANDELERO; SAN COSME",1998,2006,"MONSERRAT_REINITA; MONSERRAT_PUNTA_SURESTE; MONSERRAT_GALERAS; CATALANA_BAJO; MONSERRAT_PUNTA_NOROESTE; LORETO_SAN_COSME_CANDELERO; SAN COSME Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de SAN COSME"
"SAN GABRIEL I","Lutjanus argentiventris","SAN GABRIEL I",2006,2009,"SAN GABRIEL I Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de SAN GABRIEL I"
"SAN GABRIEL II","Lutjanus argentiventris","ESPIRITU_SANTO_BONANZA_BAJO; SAN GABRIEL II",2001,2006,"ESPIRITU_SANTO_BONANZA_BAJO; SAN GABRIEL II Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de SAN GABRIEL II"
"SAN IDELFONSO","Lutjanus argentiventris","BAHIA_CONCEPCION_CHITA1; SAN IDELFONSO",2005,2007,"BAHIA_CONCEPCION_CHITA1; SAN IDELFONSO Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de SAN IDELFONSO"
"SAN JOSE","Lutjanus argentiventris","SAN_JOSE_ANIMAS_PINACULOS; SAN_JOSE_ANIMAS_NORTE; PUNTA_COYOTE; PARDITO_BAJO; SAN_FRANCISQUITO_AFUERA_BAJO; SAN_FRANCISQUITO_ADENTRO_BAJO; SAN_FRANCISQUITO_1M_BAJO; SAN_FRANCISCO_PUNTA_NORTE_FARO; PUNTA_TS; SAN JOSE",1998,2009,"SAN_JOSE_ANIMAS_PINACULOS; SAN_JOSE_ANIMAS_NORTE; PUNTA_COYOTE; PARDITO_BAJO; SAN_FRANCISQUITO_AFUERA_BAJO; SAN_FRANCISQUITO_ADENTRO_BAJO; SAN_FRANCISQUITO_1M_BAJO; SAN_FRANCISCO_PUNTA_NORTE_FARO; PUNTA_TS; SAN JOSE Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de SAN JOSE"
"SAN LUCAS","Lutjanus argentiventris","TURNER; SAN_PEDRO_MARTIR_PUNTA_NORTE; SAN_PEDRO_MARTIR_PINACULOS; SAN_PEDRO_MARTIR_LOBERA_NORTE; SAN_ESTEBAN_NOROESTE; SALSIPUEDES; QUEMADO; PESCADOR; HERRADURA; CORONADO_TIJERETAS; CORONADITO; CANTILES_GUADALUPE; ALCATRAZ; AG_PARTIDA; AG_CORONADO_MITLAN; SAN LUCAS",1999,2009,"TURNER; SAN_PEDRO_MARTIR_PUNTA_NORTE; SAN_PEDRO_MARTIR_PINACULOS; SAN_PEDRO_MARTIR_LOBERA_NORTE; SAN_ESTEBAN_NOROESTE; SALSIPUEDES; QUEMADO; PESCADOR; HERRADURA; CORONADO_TIJERETAS; CORONADITO; CANTILES_GUADALUPE; ALCATRAZ; AG_PARTIDA; AG_CORONADO_MITLAN; SAN LUCAS Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de SAN LUCAS"
"SAN MARCOS","Lutjanus argentiventris","TORTUGA_PUNTA_SUR; TORTUGA_PUNTA_OESTE; SAN_PEDRO_NOLASCO; SAN_CARLOS; BAJO_JOMA; SAN MARCOS",1999,2007,"TORTUGA_PUNTA_SUR; TORTUGA_PUNTA_OESTE; SAN_PEDRO_NOLASCO; SAN_CARLOS; BAJO_JOMA; SAN MARCOS Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de SAN MARCOS"
"SANTISPAC","Lutjanus argentiventris","BAHIA_CONCEPCION_SANTISPAC; SANTISPAC",1999,2009,"BAHIA_CONCEPCION_SANTISPAC; SANTISPAC Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de SANTISPAC"
"STA BARBARA 1","Lutjanus argentiventris","BAHIA_CONCEPCION_COYOTE; STA BARBARA 1",1999,2009,"BAHIA_CONCEPCION_COYOTE; STA BARBARA 1 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de STA BARBARA 1"
"STA BARBARA 2","Lutjanus argentiventris","Islote 1; STA BARBARA 2",2005,2009,"Islote 1; STA BARBARA 2 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de STA BARBARA 2"
"UABCS","Lutjanus argentiventris","UABCS",2009,2009,"UABCS Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de UABCS"
"ZACATECAS","Lutjanus argentiventris","ZACATECAS",2006,2009,"ZACATECAS Densidad; Red Snapper; Pargo amarillo; Manglar","TituloI","Tallas de Lutjanus argentiventris en manglares de ZACATECAS"
"BAHIA FALSA","Lutjanus argentiventris","BAHIA FALSA",2006,2009,"BAHIA FALSA Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de BAHIA FALSA"
"BALANDRA","Lutjanus argentiventris","CERRALVO_REINA; CERRALVO_NORTE; CERRALVO_ESTACAS; BALANDRA; BALANDRA_BOCA",1999,2009,"CERRALVO_REINA; CERRALVO_NORTE; CERRALVO_ESTACAS; BALANDRA; BALANDRA_BOCA Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de BALANDRA"
"EL CARDONAL","Lutjanus argentiventris","ESPIRITU_SANTO_PARTIDA_NORESTE; ESPIRITU_SANTO_ISLOTES_NORTE; ESPIRITU_SANTO_ISLOTES_ESTE; ESPIRITU_SANTO_ISLOTES; ESPIRITU_SANTO_BAJO; ISLOTES; EL CARDONAL",1998,2009,"ESPIRITU_SANTO_PARTIDA_NORESTE; ESPIRITU_SANTO_ISLOTES_NORTE; ESPIRITU_SANTO_ISLOTES_ESTE; ESPIRITU_SANTO_ISLOTES; ESPIRITU_SANTO_BAJO; ISLOTES; EL CARDONAL Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de EL CARDONAL"
"EL CONCHALITO","Lutjanus argentiventris","DEDO_NEPTUNO; BAJO_GOLFITO_SAN_LUCAS; ANEGADA; PALMILLA_SAN_JOSE; LINEA; GIORGIO; CHILENO; BLEDITO; ARCO_SAN_LUCAS; EL CONCHALITO",1999,2006,"DEDO_NEPTUNO; BAJO_GOLFITO_SAN_LUCAS; ANEGADA; PALMILLA_SAN_JOSE; LINEA; GIORGIO; CHILENO; BLEDITO; ARCO_SAN_LUCAS; EL CONCHALITO Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de EL CONCHALITO"
"EL FRIJOL","Lutjanus argentiventris","BAHIA_CONCEPCION_CHITA2; EL FRIJOL",2005,2009,"BAHIA_CONCEPCION_CHITA2; EL FRIJOL Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de EL FRIJOL"
"EL GALLO","Lutjanus argentiventris","ESPIRITU_SANTO_PUNTA_LOBOS; ESPIRITU_SANTO_PAILEBOTE; EL GALLO",1998,2009,"ESPIRITU_SANTO_PUNTA_LOBOS; ESPIRITU_SANTO_PAILEBOTE; EL GALLO Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de EL GALLO"
"EL MANGLE 1","Lutjanus argentiventris","EL MANGLE 1",2009,2009,"EL MANGLE 1 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de EL MANGLE 1"
"EL MANGLE 2","Lutjanus argentiventris","EL MANGLE 2",2009,2009,"EL MANGLE 2 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de EL MANGLE 2"
"EL REQUESON","Lutjanus argentiventris","BUENAVENTURA; EL REQUESON",2006,2009,"BUENAVENTURA; EL REQUESON Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de EL REQUESON"
"EL TOPO","Lutjanus argentiventris","EL TOPO",2006,2009,"EL TOPO Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de EL TOPO"
"ENFERMERIA","Lutjanus argentiventris","VENTANA_SUR; PUNTA_GORDA; MUERTOS; CRUCES; CERRALVO_LOMAS_BLANCAS; AGUA MALA; ENFERMERIA",2005,2006,"VENTANA_SUR; PUNTA_GORDA; MUERTOS; CRUCES; CERRALVO_LOMAS_BLANCAS; AGUA MALA; ENFERMERIA Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de ENFERMERIA"
"ESPIRITU_SANTO_ERIZOSO","Lutjanus argentiventris","ESPIRITU_SANTO_CATEDRAL_BAJO; ESPIRITU_SANTO_GALLINA; ESPIRITU_SANTO_ERIZOSO",1999,2009,"ESPIRITU_SANTO_CATEDRAL_BAJO; ESPIRITU_SANTO_GALLINA; ESPIRITU_SANTO_ERIZOSO Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de ESPIRITU_SANTO_ERIZOSO"
"ISLA DANZANTE","Lutjanus argentiventris","DANZANTE_PUNTA_SURESTE; DANZANTE_PUNTA_NOROESTE; DANZANTE_PUNTA_ESTE; DANZANTE_BIZNAGA; CARMEN_ABISMO; CARMEN_BAJO_SUR; CARMEN_ESTACAS; ISLA DANZANTE",1998,2007,"DANZANTE_PUNTA_SURESTE; DANZANTE_PUNTA_NOROESTE; DANZANTE_PUNTA_ESTE; DANZANTE_BIZNAGA; CARMEN_ABISMO; CARMEN_BAJO_SUR; CARMEN_ESTACAS; ISLA DANZANTE Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de ISLA DANZANTE"
"ISLA DEL CARMEN","Lutjanus argentiventris","CORONADO_LAJAS; CARMEN_TINTORERA; CARMEN_PUNTA_PERICO; CARMEN_PUNTA_LOBOS; El Pozo; CARMEN_CHOYA; ISLA DEL CARMEN",1998,2009,"CORONADO_LAJAS; CARMEN_TINTORERA; CARMEN_PUNTA_PERICO; CARMEN_PUNTA_LOBOS; El Pozo; CARMEN_CHOYA; ISLA DEL CARMEN Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de ISLA DEL CARMEN"
"LA BALLENA","Lutjanus argentiventris","ESPIRITU_SANTO_BALLENA; ESPIRITU_SANTO_GALLO; LA BALLENA",1998,2009,"ESPIRITU_SANTO_BALLENA; ESPIRITU_SANTO_GALLO; LA BALLENA Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de LA BALLENA"
"LA DISPENSA","Lutjanus argentiventris","ESPIRITU_SANTO_SAN_GABRIEL; LAS NAVAJAS; LA DISPENSA",2005,2009,"ESPIRITU_SANTO_SAN_GABRIEL; LAS NAVAJAS; LA DISPENSA Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de LA DISPENSA"
"LA GALLINA","Lutjanus argentiventris","LA GALLINA",2006,2006,"LA GALLINA Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de LA GALLINA"
"LA PUNTA","Lutjanus argentiventris","LA PUNTA",2006,2006,"LA PUNTA Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de LA PUNTA"
"LAS POSITAS","Lutjanus argentiventris","LAS POSITAS",2007,2007,"LAS POSITAS Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de LAS POSITAS"
"LOS MOJONES","Lutjanus argentiventris","PUNTA_CHIVATO; INES_GRANDE; LOS MOJONES",2005,2007,"PUNTA_CHIVATO; INES_GRANDE; LOS MOJONES Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de LOS MOJONES"
"MERITO 1","Lutjanus argentiventris","MERITO 1",2006,2009,"MERITO 1 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de MERITO 1"
"MERITO 2","Lutjanus argentiventris","GAVIOTA; FARO DE SAN RAFAEL; BALANDRA_CARDON; MERITO 2",2005,2009,"GAVIOTA; FARO DE SAN RAFAEL; BALANDRA_CARDON; MERITO 2 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de MERITO 2"
"MOGOTE 2","Lutjanus argentiventris","MOGOTE 2",2006,2009,"MOGOTE 2 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de MOGOTE 2"
"MOGOTE 3","Lutjanus argentiventris","MOGOTE 3",2006,2009,"MOGOTE 3 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de MOGOTE 3"
"MOGOTE 4","Lutjanus argentiventris","MOGOTE 4",2006,2009,"MOGOTE 4 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de MOGOTE 4"
"MOGOTE 5","Lutjanus argentiventris","MOGOTE 5",2006,2007,"MOGOTE 5 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de MOGOTE 5"
"MOGOTE_VI","Lutjanus argentiventris","MOGOTE_VI",2009,2009,"MOGOTE_VI Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de MOGOTE_VI"
"MULEGE","Lutjanus argentiventris","PtaNorteMULE; Islote Boca; BAHIA_CONCEPCION_CHITA3; MULEGE",2005,2009,"PtaNorteMULE; Islote Boca; BAHIA_CONCEPCION_CHITA3; MULEGE Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de MULEGE"
"NOPOLO","Lutjanus argentiventris","SAN_EVARISTO; SAN_JOSE_BAJO; SANTA_CRUZ_NORTE; SAN_DIEGO_ABNEGADO; HABANA; CUEVAS; CALABOZO; NOPOLO",1999,2009,"SAN_EVARISTO; SAN_JOSE_BAJO; SANTA_CRUZ_NORTE; SAN_DIEGO_ABNEGADO; HABANA; CUEVAS; CALABOZO; NOPOLO Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de NOPOLO"
"NOPOLO II","Lutjanus argentiventris","NOPOLO II",2007,2009,"NOPOLO II Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de NOPOLO II"
"PUERTO ESCONDIDO","Lutjanus argentiventris","MIRADOR_LORETO; PUERTO ESCONDIDO",1999,2009,"MIRADOR_LORETO; PUERTO ESCONDIDO Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de PUERTO ESCONDIDO"
"PUERTO GATA","Lutjanus argentiventris","CERRALVO_CARPINTERO; PUERTO MEJIA; PUERTO GATA",1999,2009,"CERRALVO_CARPINTERO; PUERTO MEJIA; PUERTO GATA Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de PUERTO GATA"
"PUNTA MANGLE","Lutjanus argentiventris","PUNTA MANGLE",2007,2009,"PUNTA MANGLE Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de PUNTA MANGLE"
"SAN BASILIO 1","Lutjanus argentiventris","SAN BASILIO 1",2007,2009,"SAN BASILIO 1 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de SAN BASILIO 1"
"SAN BASILIO 2","Lutjanus argentiventris","SAN BASILIO 2",2009,2009,"SAN BASILIO 2 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de SAN BASILIO 2"
"SAN BRUNO","Lutjanus argentiventris","CORONADO_PUNTA_BLANCA; CORONADO_MONO; CORONADO_ISLOTE; SAN BRUNO; LORETO_TEPETATE",1998,2009,"CORONADO_PUNTA_BLANCA; CORONADO_MONO; CORONADO_ISLOTE; SAN BRUNO; LORETO_TEPETATE Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de SAN BRUNO"
"SAN COSME","Lutjanus argentiventris","MONSERRAT_REINITA; MONSERRAT_PUNTA_SURESTE; MONSERRAT_GALERAS; CATALANA_BAJO; MONSERRAT_PUNTA_NOROESTE; LORETO_SAN_COSME_CANDELERO; SAN COSME",1998,2006,"MONSERRAT_REINITA; MONSERRAT_PUNTA_SURESTE; MONSERRAT_GALERAS; CATALANA_BAJO; MONSERRAT_PUNTA_NOROESTE; LORETO_SAN_COSME_CANDELERO; SAN COSME Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de SAN COSME"
"SAN GABRIEL I","Lutjanus argentiventris","SAN GABRIEL I",2006,2009,"SAN GABRIEL I Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de SAN GABRIEL I"
"SAN GABRIEL II","Lutjanus argentiventris","ESPIRITU_SANTO_BONANZA_BAJO; SAN GABRIEL II",2001,2006,"ESPIRITU_SANTO_BONANZA_BAJO; SAN GABRIEL II Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de SAN GABRIEL II"
"SAN IDELFONSO","Lutjanus argentiventris","BAHIA_CONCEPCION_CHITA1; SAN IDELFONSO",2005,2007,"BAHIA_CONCEPCION_CHITA1; SAN IDELFONSO Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de SAN IDELFONSO"
"SAN JOSE","Lutjanus argentiventris","SAN_JOSE_ANIMAS_PINACULOS; SAN_JOSE_ANIMAS_NORTE; PUNTA_COYOTE; PARDITO_BAJO; SAN_FRANCISQUITO_AFUERA_BAJO; SAN_FRANCISQUITO_ADENTRO_BAJO; SAN_FRANCISQUITO_1M_BAJO; SAN_FRANCISCO_PUNTA_NORTE_FARO; PUNTA_TS; SAN JOSE",1998,2009,"SAN_JOSE_ANIMAS_PINACULOS; SAN_JOSE_ANIMAS_NORTE; PUNTA_COYOTE; PARDITO_BAJO; SAN_FRANCISQUITO_AFUERA_BAJO; SAN_FRANCISQUITO_ADENTRO_BAJO; SAN_FRANCISQUITO_1M_BAJO; SAN_FRANCISCO_PUNTA_NORTE_FARO; PUNTA_TS; SAN JOSE Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de SAN JOSE"
"SAN LUCAS","Lutjanus argentiventris","TURNER; SAN_PEDRO_MARTIR_PUNTA_NORTE; SAN_PEDRO_MARTIR_PINACULOS; SAN_PEDRO_MARTIR_LOBERA_NORTE; SAN_ESTEBAN_NOROESTE; SALSIPUEDES; QUEMADO; PESCADOR; HERRADURA; CORONADO_TIJERETAS; CORONADITO; CANTILES_GUADALUPE; ALCATRAZ; AG_PARTIDA; AG_CORONADO_MITLAN; SAN LUCAS",1999,2009,"TURNER; SAN_PEDRO_MARTIR_PUNTA_NORTE; SAN_PEDRO_MARTIR_PINACULOS; SAN_PEDRO_MARTIR_LOBERA_NORTE; SAN_ESTEBAN_NOROESTE; SALSIPUEDES; QUEMADO; PESCADOR; HERRADURA; CORONADO_TIJERETAS; CORONADITO; CANTILES_GUADALUPE; ALCATRAZ; AG_PARTIDA; AG_CORONADO_MITLAN; SAN LUCAS Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de SAN LUCAS"
"SAN MARCOS","Lutjanus argentiventris","TORTUGA_PUNTA_SUR; TORTUGA_PUNTA_OESTE; SAN_PEDRO_NOLASCO; SAN_CARLOS; BAJO_JOMA; SAN MARCOS",1999,2007,"TORTUGA_PUNTA_SUR; TORTUGA_PUNTA_OESTE; SAN_PEDRO_NOLASCO; SAN_CARLOS; BAJO_JOMA; SAN MARCOS Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de SAN MARCOS"
"SANTISPAC","Lutjanus argentiventris","BAHIA_CONCEPCION_SANTISPAC; SANTISPAC",1999,2009,"BAHIA_CONCEPCION_SANTISPAC; SANTISPAC Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de SANTISPAC"
"STA BARBARA 1","Lutjanus argentiventris","BAHIA_CONCEPCION_COYOTE; STA BARBARA 1",1999,2009,"BAHIA_CONCEPCION_COYOTE; STA BARBARA 1 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de STA BARBARA 1"
"STA BARBARA 2","Lutjanus argentiventris","Islote 1; STA BARBARA 2",2005,2009,"Islote 1; STA BARBARA 2 Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de STA BARBARA 2"
"UABCS","Lutjanus argentiventris","UABCS",2009,2009,"UABCS Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de UABCS"
"ZACATECAS","Lutjanus argentiventris","ZACATECAS",2006,2009,"ZACATECAS Densidad; Red Snapper; Pargo amarillo; Manglar","TituloII","Abundancia de Lutjanus argentiventris en manglares de ZACATECAS"
